Candidate Name,Office,Region,Question Order,Question,Answer,URL
John Duresky,U.S. House District 4,United States,1,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"Affordability & Economic Fairness: Families in Central Washington are being squeezed from every direction, groceries, housing, health premiums, and tariffs that raise costs for farmers and consumers. My priority is to make life more affordable for working people. That starts with restoring congressional authority over tariffs, fixing a tax code that favors the wealthy over workers, and protecting Social Security from reckless budget proposals. Washington’s families deserve an economy that works for them.Healthcare & Rural Hospitals: Healthcare in Central Washington is growing more expensive and harder to access, especially in rural communities. I will work to keep rural hospitals open, restore ACA subsidies, protect and strengthen Medicare and Medicaid, and reduce waste in our system. Over time, I believe our nation must move toward universal healthcare, because no family should go bankrupt due to illness, and no community should lose its only hospital.Immigration Reform: Our immigration system is broken, and it’s hurting families, farms, and local employers. We need secure borders, yes, but we also need a fair, humane pathway to legal status and citizenship for people who have lived, worked, and raised families here. As a former civil servant, I’ve seen firsthand the failures of ICE, and I believe the agency requires major structural reform. America’s story is one of immigration, and our policies should reflect our values and our economic needs.",https://ballotpedia.org/John_Duresky
John Duresky,U.S. House District 4,United States,2,What areas of public policy are you personally passionate about?,"I am passionate about tax reform. The tax code is the tool with which the wealthiest 1% of Americans have waged war against the rest of us. I want to remove the “Stepped up Basis” and carried interest loopholes, but those loopholes are just the start. As a former military member and civil servant, I was required to uphold the highest ethical standards. I am interested in reforming ethics rules for all three branches of the Government. A civil servant should not be fired or sent to prison for something congressmen do legally with impunity. As a veteran, I’ve struggled with Veteran’s Affairs, and I would welcome any opportunity to listen to veterans and make improvements to the VA.",https://ballotpedia.org/John_Duresky
John Duresky,U.S. House District 4,United States,3,What organizations or individuals have endorsed your campaign?,"Benton Country Democrats, Grant County Democrats, Klickitat County Democrats",https://ballotpedia.org/John_Duresky
Ken Vaz,U.S. House District 4,United States,1,Who are you? Tell us about yourself.,"I’m Ken Vaz, a University of Washington graduate, tech worker, and entrepreneur running for Congress in Washington’s 4th District. I was born and raised in America, and I take great pride in the country that gave me the opportunity to build my life and career. I moved to Washington to attend UW and stayed here to work in the technology industry, including at companies such as Nordstrom, Salesforce, Amazon, and Tableau. That experience taught me the importance of innovation, hard work, accountability, and practical problem-solving. I’m running because Washington, D.C. needs more practical, results-focused leadership. Families are facing rising costs, workers are worried about the future, and too many people feel government is disconnected from their everyday lives. As a fiscally conservative, socially libertarian-leaning Republican, I believe Congress must protect constitutional rights, reduce wasteful spending, take the national deficit seriously, and help bring inflation under control. My focus is affordability, constitutional liberty, accountable government, reliable infrastructure, fiscal responsibility, and putting Americans first. I am a first-time candidate, but I believe that is part of what makes this campaign important. We need leaders who understand the modern economy, respect individual freedom, and bring a common-sense, problem-solving mindset to Congress.",https://ballotpedia.org/Ken_Vaz
Ken Vaz,U.S. House District 4,United States,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"I’m running to make life more affordable for Washington families. Congress must lower taxes, reduce wasteful spending, take the national deficit seriously, and help bring inflation under control. Families, workers, farmers, and small businesses are being squeezed by higher costs for groceries, housing, energy, health care, and transportation. I will focus on practical policies that lower costs, strengthen local industries, and help people get ahead.I’m running to protect constitutional liberty and hold government accountable. That includes defending the Second Amendment, free speech, privacy, due process, and the Fourth Amendment. I oppose warrantless searches of Americans’ communications, government spying without proper oversight, and federal agencies entering private spaces without lawful warrants. Government should be limited, transparent, and respectful of the people it serves. We can have strong borders, public safety, and national security while still protecting constitutional rights and preventing government overreach.I’m a first-time candidate, UW graduate, tech worker, and entrepreneur who understands the modern economy. I’m running to bring a practical, problem-solving mindset to Congress instead of more politics as usual. My focus is reliable infrastructure, innovation, fiscal responsibility, American workers, and putting Americans first. I want Washington communities to thrive and believe Congress needs leaders who are grounded, independent-minded, and focused on results.",https://ballotpedia.org/Ken_Vaz
Ken Vaz,U.S. House District 4,United States,3,What areas of public policy are you personally passionate about?,"I am personally passionate about affordability, constitutional liberty, responsible technology policy, and protecting Washington’s natural resources. As a fiscal conservative, I care about reducing wasteful spending, lowering the deficit, and bringing down costs for families, workers, farmers, and small businesses. I also care about protecting free speech, the Second Amendment, privacy, due process, and the Fourth Amendment against warrantless searches and government overreach. Because of my technology background, I care about AI, data privacy, cybersecurity, and data centers’ impact on local communities. Innovation should create jobs and opportunity, but should not raise energy costs, strain water resources, or harm the environment.",https://ballotpedia.org/Ken_Vaz
April Connors,8th District Representative Pos 2,Benton County,1,Who are you? Tell us about yourself.,"April Connors is our best choice for the State House. A mom, community leader, and a successful business woman who shares our community's values. As a local real estate professional for the past 22 years April has the unique experience of making and establishing relationships with clients from varied backgrounds These trusted relationships will help her consider legislation that will benefit the Tri-City Region in Olympia.",https://ballotpedia.org/April_Connors
April Connors,8th District Representative Pos 2,Benton County,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"Better Schools. We need an advocate in Olympia who will fight for both children and parents. As a past PTO officer April has the experience and grit to defend our kids and put families back in the driver's seat.Reliable Energy & Good Jobs The Tri-Cities is a world leader in clean, renewable energy – from nuclear to hydroelectric we’re leading the way to energy independence. Unfortunately, the west side is trying to take it away. Breaching our dams and scarring our landscape with windmill farms is not the answer. Embracing reliable clean power not only turns the lights on but keeps them on. Energy, along with agriculture and small business, are all part of what keeps our community prosperous, and all are at risk in Olympia.Expanded Housing The Tri-Cities has not been immune to the statewide housing crisis. While Seattle politicians raise taxes and fight over regulations, their urban policies only exacerbate our problems in the Tri-Cities. We deserve the chance to find real solutions that fit our community, protect our way of life, and put homeownership within reach of all working families.",https://ballotpedia.org/April_Connors
April Connors,8th District Representative Pos 2,Benton County,3,What areas of public policy are you personally passionate about?,"I am passionate about housing, education, agriculture and energy.",https://ballotpedia.org/April_Connors
Chelsea Dimas,14th District Representative Pos 1,Benton County,1,Who are you? Tell us about yourself.,"Chelsea Dimas (she/her/ella) is a longtime servant leader, communications professional, and proud daughter of Indigenous immigrants from México (Nahua and Purépecha) with a long family history of hard-working campesinos. Chelsea has spent most of her life fighting for her gente (people) by being on the frontlines with them, demanding rights and protections for farmworkers, immigrants, reproductive freedom, the LGBTQ+ community, and other vulnerable populations. From here at home in the Yakima Valley to our state legislature and across the nation, Chelsea strongly believes that everyone deserves a seat at the table to have a say in the decision-making process. With more equitable policies and diverse representation, she believes we can truly create a future where ALL Washingtonians thrive.",https://ballotpedia.org/Chelsea_Dimas
